id,season,player_name,position,transfer_type,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
53,2022/23,Hira Mondal,Defender,Arrival,East Bengal,Bengaluru FC,Free,Joined,5 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
54,2022/23,Roy Krishna,Forward,Arrival,ATK Mohun Bagan,Bengaluru FC,Free,Joined,18 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
55,2022/23,Aleksander Jovanovic,Defender,Arrival,Macarthur FC,Bengaluru FC,Free,Joined,22 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
56,2022/23,Sudheer Kotikala,Forward,Arrival,Kickstart FC,Bengaluru FC,Free,Joined,23 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
57,2022/23,Ankith Padmanabhan,Forward,Arrival,Kickstart FC,Bengaluru FC,Free,Joined,23 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
58,2022/23,Clarence Fernandes,Defender,Arrival,Dempo U-18,Bengaluru FC,Free,Joined,23 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
59,2022/23,Felixson Fernandes,Defender,Arrival,RF Young Champs,Bengaluru FC,Free,Joined,23 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
60,2022/23,Sandesh Jhingan,Defender,Arrival,ATK Mohun Bagan,Bengaluru FC,Free,Joined,14 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
61,2022/23,Pratik Chaudhari,Defender,Departure,Bengaluru FC,Jamshedpur,Free,Departed,5 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
62,2022/23,Sarthak Golui,Defender,Departure,Bengaluru FC,East Bengal,Free,Departed,5 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
63,2022/23,Iman Basafa,Midfielder,Departure,Bengaluru FC,Kheybar Khorramabad,Free,Departed,6 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
64,2022/23,Cleiton Silva,Forward,Departure,Bengaluru FC,East Bengal,Free,Departed,6 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
65,2022/23,Ashique Kuruniyan,Forward,Departure,Bengaluru FC,ATK Mohun Bagan,Undisclosed,Departed,20 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
66,2022/23,Yrondu Musavu-King,Defender,Departure,Bengaluru FC,Without a club,Free,Departed,15 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
67,2022/23,Ajith Kumar,Defender,Departure,Bengaluru FC,Chennaiyin,Undisclosed,Departed,28 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
68,2022/23,Bidyashagar Singh,Forward,Departure,Bengaluru FC,Kerala Blasters,Undisclosed,Departed,17 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
69,2022/23,Ajay Chhetri,Midfielder,Departure,Bengaluru FC,Punjab FC,Undisclosed,Departed,1 September 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
70,2022/23,Rahul Raju,Forward,Departure,Bengaluru FC,Gokulam Kerala,Undisclosed,Departed,31 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
71,2022/23,Bidyashagar Singh,Forward,Loan Out,Bengaluru FC,Kerala Blasters,Undisclosed,Loaned Out,17 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
72,2022/23,Ajay Chhetri,Midfielder,Loan Out,Bengaluru FC,Punjab FC,Undisclosed,Loaned Out,1 September 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
73,2022/23,Rahul Raju,Forward,Loan Out,Bengaluru FC,Gokulam Kerala,Undisclosed,Loaned Out,31 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
74,2023/24,Sahil Poonia,Goalkeeper,Arrival,Zinc FA,Bengaluru FC,Free,Joined,1 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
75,2023/24,Halicharan Narzary,Forward,Arrival,Hyderabad,Bengaluru FC,Free,Joined,14 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
76,2023/24,Vikram Lakhbir Singh,Goalkeeper,Arrival,Aizawl,Bengaluru FC,Free,Joined,21 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
77,2023/24,Slavko Damjanović,Defender,Arrival,Mohun Bagan,Bengaluru FC,Free,Joined,28 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
78,2023/24,Rohit Danu,Forward,Arrival,Hyderabad,Bengaluru FC,Free,Joined,7 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
79,2023/24,Salam Johnson Singh,Forward,Arrival,TRAU,Bengaluru FC,Free,Joined,10 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
80,2023/24,Curtis Main,Forward,Arrival,St Mirren,Bengaluru FC,Free,Joined,18 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
81,2023/24,Jessel Carneiro,Defender,Arrival,Kerala Blasters,Bengaluru FC,Free,Joined,25 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
82,2023/24,Shankar Sampingiraj,Midfielder,Arrival,Punjab,Bengaluru FC,Free,Joined,25 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
83,2023/24,Ryan Williams,Midfielder,Arrival,Perth Glory,Bengaluru FC,Free,Joined,28 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
84,2023/24,Keziah Veendorp,Midfielder,Arrival,Emmen,Bengaluru FC,Free,Joined,5 August 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
85,2023/24,Chinglensana Singh Konsham,Defender,Arrival,Hyderabad FC,Bengaluru FC,Free,Joined,30 January 2024,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
86,2023/24,Nikhil Poojary,Defender,Arrival,Hyderabad FC,Bengaluru FC,Free,Joined,1 February 2024,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
87,2023/24,Robin Yadav,Defender,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,1 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
88,2023/24,Ankith Padmanabhan,Forward,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,1 August 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
89,2023/24,Harsh Patre,Midfielder,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,31 August 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
90,2023/24,Chingambam Shivaldo Singh,Defender,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,1 December 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
91,2023/24,Monirul Molla,Forward,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,1 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
92,2024/25,Mohammeed Salah,Defender,Arrival,Punjab FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
93,2024/25,Lalthuammawia Ralte,Goalkeeper,Arrival,Odisha FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
94,2024/25,Rahul Bheke,Defender,Arrival,Mumbai City FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
95,2024/25,Alberto Noguera,Midfielder,Arrival,Mumbai City FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
96,2024/25,Edgar Mendez,Forward,Arrival,Club Necaxa,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
97,2024/25,Jorge Pereyra Díaz,Forward,Arrival,Mumbai City FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
98,2024/25,Pedro Capo,Midfielder,Arrival,CD Eldense,Bengaluru FC,Free,Joined,16 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
99,2024/25,Lara Sharma,Goalkeeper,Departure,Bengaluru FC,FC Goa,"₹30 lakh (US$31,000)",Departed,18 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
100,2024/25,Javi Hernández,Midfielder,Departure,Bengaluru FC,Jamshedpur FC,Free,Departed,25 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
101,2024/25,Oliver Drost,Forward,Departure,Bengaluru FC,FC Helsingør,Free,Departed,"₹2 crore (US$210,000)",Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
102,2024/25,Slavko Damjanovic,Defender,Departure,Bengaluru FC,Persebaya Surabaya,Free,Departed,6 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
103,2024/25,Rohit Kumar,Midfielder,Departure,Bengaluru FC,Odisha FC,Free,Departed,12 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
